config_name,first_choice_pct,avg_student_satisfaction_rate,workload_std_dev,balance_weight,score_weights
Config_71,54.666666666666664,84.69444444444444,1.8474082579137283,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_72,55.333333333333336,84.77777777777777,1.8681114389486817,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_73,32.666666666666664,78.75,2.5625696917847898,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_74,29.333333333333332,80.91666666666667,2.5171400824119345,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_75,28.666666666666668,82.58333333333333,2.4786461026489985,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_76,29.333333333333332,84.69444444444444,2.423727652387186,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_77,32.666666666666664,78.75,2.5775349662375233,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_78,29.333333333333332,80.91666666666667,2.5247684513527773,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_79,26.666666666666668,81.91666666666667,2.5323738411632353,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_80,24.0,83.02777777777777,2.5924138518184447,2.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_81,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_82,100.0,77.25,3.280102302910945,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_83,86.66666666666667,83.25,2.7924062483856504,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_84,80.66666666666666,84.69444444444444,2.584985114200584,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_85,100.0,76.25,3.148478564546349,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_86,98.66666666666667,77.91666666666667,3.2565664377862045,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_87,85.33333333333334,83.58333333333333,2.8198189321070557,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_88,80.66666666666666,84.69444444444444,2.6583384707847104,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_89,32.666666666666664,78.75,2.570063221735125,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_90,34.0,79.75,2.5998213626250717,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_91,32.0,83.08333333333333,2.4552600446373196,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_92,29.333333333333332,84.69444444444444,2.423727652387186,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_93,32.666666666666664,78.75,2.5625696917847898,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_94,32.666666666666664,79.25,2.607207827547168,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_95,28.000000000000004,81.58333333333333,2.5247684513527773,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_96,24.666666666666668,82.91666666666667,2.5998213626250717,2.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_97,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_98,100.0,77.25,3.285959929156657,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_99,100.0,77.25,3.285959929156657,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_100,90.66666666666666,81.91666666666667,2.959572793083773,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_101,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_102,100.0,77.25,3.285959929156657,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_103,100.0,77.25,3.3150928114203553,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_104,90.66666666666666,81.91666666666667,2.9203256473880534,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_105,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_106,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_107,98.66666666666667,77.91666666666667,3.2565664377862045,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_108,88.0,82.58333333333333,2.8537145095781864,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
